1,jbjhhbj,11,Toto Wolff,ncarter@gmail.com,51,7,86,62,89,67
2,Sally Yates,14,Toto Wolff,myates@northeastern.edu,23,44,80,78,87,89
3,Lizzy Holmes,12,Toto Wolff,mholmes@icloud.com,62,57,89,90,56,78
4,Markie Wahlberg,11,Toto Wolff,mwahlberg@yahoo.com,32,56,82,99,90,99
5,Johnny Carson,13,Christian Horner,bcarson@yahoo.com,12,60,73,79,67,78
6,Bobby Robson,15,Christian Horner,brobson@gmail.com,48,92,55,73,88,56
7,Billy Jean,12,Christian Horner,pjean@yahoo.com,45,78,64,86,78,89
8,Evie Cooper,13,Christian Horner,bcooper@icloud.com,40,88,99,95,66,43
9,Becky Lynch,11,Christian Horner,mlynch@gmail.com,29,56,67,90,45,56
10,Jessie Owens,13,Monisha Kaltenborn,sowens@gmail.com,74,90,99,88,34,78
11,Jackie Chan,12,Monisha Kaltenborn,thchan@harvard.edu,62,68,78,86,89,99
12,Laurie Hernandez,12,Monisha Kaltenborn,khernandez@yahoo.com,27,55,79,70,78,90
13,Cathey Philips,14,Monisha Kaltenborn,iphilips@gmail.com,82,90,76,53,99,87
14,Millie Perkins,13,Monisha Kaltenborn,kperkins@icloud.com,63,70,84,56,67,66
15,Ruthie Henshall,12,Vijay Mallya,bhenshall@gmail.com,34,68,89,55,45,80
16,Stanley Ipkiss,11,Vijay Mallya,p.ipkiss@icloud.com,53,68,79,77,89,87
17,Mary Kay,12,Vijay Mallya,jkay@yahoo.com,41,67,89,90,90,49
18,Annie May,14,Vijay Mallya,fmay@gmail.com,30,66,89,79,34,56
19,ADBS ,14,sdbsjbd,dsb@gmail.com,39,29,99,92,92,92
20,Annie May,14,Vijay Mallya,fmay@gmail.com,30,66,89,79,34,56
21,Annie May,14,Vijay Mallya,fmay@gmail.com,30,66,89,79,34,56
22,Checking,13,if this work,noice@gmail.com,99,99,99,99,99,99
